No,Current distance,Vr Ori SSM,Speed,Mode SSM ori,Mode Collab,x,y,z,rx,ry,rz
1,4753,0,0,0,0,485.327,5.542,306.369,-179.4014,-2.8394,10.0869
2,4753,0,0,0,0,485.264,4.907,306.436,-179.4019,-2.8395,10.0877
3,4753,0,0,0,0,485.206,4.318,306.492,-179.4009,-2.8395,10.0876
4,4753,0,0,0,0,485.121,3.485,306.579,-179.4016,-2.8402,10.0877
5,4753,0,0,0,0,485.042,2.69,306.657,-179.4018,-2.8396,10.0883
6,4753,0,0,0,0,484.957,1.861,306.74,-179.4011,-2.8399,10.0884
7,4753,0,0,0,0,484.873,1.029,306.823,-179.4014,-2.8388,10.0885
8,4753,0,0,0,0,484.794,0.233,306.902,-179.4018,-2.8395,10.0869
9,4753,0,0,0,0,484.732,-0.397,306.967,-179.4011,-2.8394,10.0877
10,4753,0,0,0,0,484.651,-1.185,307.047,-179.4013,-2.839,10.0891
11,4753,0,0,0,0,484.568,-2.023,307.127,-179.4017,-2.8387,10.0884
12,4753,0,0,0,0,484.509,-2.61,307.193,-179.401,-2.8399,10.0883
13,4753,0,0,0,0,484.426,-3.448,307.268,-179.4013,-2.839,10.0876
14,4753,0,0,0,0,484.368,-4.039,307.329,-179.4015,-2.8393,10.0876
15,4753,0,0,0,0,484.301,-4.679,307.401,-179.4021,-2.8399,10.0876
16,4753,0,0,0,0,484.245,-5.266,307.457,-179.4011,-2.8399,10.0875
17,4753,0,0,0,0,484.16,-6.103,307.539,-179.4015,-2.8398,10.0868
18,4753,0,0,0,0,484.078,-6.931,307.624,-179.4021,-2.84,10.0891
19,1308.92,0,0,2,3,483.995,-7.721,307.702,-179.401,-2.8395,10.0875
20,1284.68,0,0,3,4,481.31,-34.491,310.39,-179.4011,-2.8396,10.0887
21,1249.02,0,0,2,3,478.676,-60.795,313.02,-179.4019,-2.8389,10.0889
22,1215.29,0,0,2,3,476.007,-87.364,315.688,-179.4016,-2.8385,10.0887
23,1215.29,0,0,2,3,473.376,-113.666,318.326,-179.4012,-2.8397,10.087
24,1215.29,0,0,2,3,473.289,-114.493,318.412,-179.402,-2.8395,10.0891
25,1123.15,0,0,2,3,473.215,-115.285,318.492,-179.4016,-2.8401,10.0875
