No,Distance,Vr OriSSM,Vr ModSSM,Mode Ori SSM,Mode ModeSSM
1,1939.31,200,200,1,1
2,2025.89,200,200,1,1
3,2132.35,200,200,1,1
4,2132.35,200,200,1,1
5,2036.24,200,200,1,1
6,2142,200,200,1,1
7,2367.47,200,200,1,1
8,2249.1,200,200,1,1
9,2364.2,200,200,1,1
10,2249.1,200,200,1,1
11,2249.1,200,200,1,1
12,2367.47,200,200,1,1
13,1939.31,200,200,1,1
14,2036.24,200,200,1,1
15,1955.74,200,200,1,1
16,1953.89,200,200,1,1
17,2042.53,200,200,1,1
18,1939.31,200,200,1,1
19,1953.89,200,200,1,1
20,2044.64,200,200,1,1
21,2044.64,200,200,1,1
22,1867.78,0,200,2,3
23,1874.25,0,60,2,3
24,2042.53,0,60,2,3
25,1730.08,0,60,2,3
26,1730.08,0,0,3,4
27,1799.28,200,200,1,1
28,1730.08,0,60,2,3
29,1664.86,0,60,2,3
30,1728.8,0,60,2,3
31,1730.08,0,94.47,2,3
32,1797.84,0,200,2,3
33,1786.46,0,60,2,3
34,1718.67,200,200,1,1
35,1597.36,100,100,2,2
36,1661.45,100,100,2,2
37,1793.55,0,60,2,3
38,1728.8,0,60,2,3
39,1666,0,78.47,2,3
40,1730.08,0,132.47,2,3
41,1606.5,0,200,2,3
42,1491.96,0,60,2,3
43,1730.08,100,100,2,2
44,1547.43,200,200,1,1
45,1547.43,0,60,2,3
46,1602.42,0,60,2,3
47,1542.87,0,200,2,3
48,1602.42,0,50,2,3
49,1605.48,0,132.47,2,3
50,1022.05,0,200,2,3
51,1323,0,200,2,3
52,1496.08,100,100,2,2
53,1094.2,0,94.47,2,3
54,1399.55,0,200,2,3
55,1357.49,100,100,2,2
56,1094.2,0,200,2,3
57,1405,0,200,2,3
58,1550.18,0,200,2,3
59,1550.18,100,200,1,1
60,1550.18,100,200,1,1
61,836.74,0,0,3,4
62,836.74,0,0,3,4
63,820.57,0,0,3,4
64,806.34,0,0,3,4
65,820.57,0,0,3,4
66,820.57,0,0,3,4
67,789.04,0,0,3,4
68,789.04,0,0,3,4
69,802.61,0,0,3,4
70,802.61,0,0,3,4
71,802.61,0,0,3,4
72,816.64,0,0,3,4
73,839.21,0,0,3,4
74,839.21,0,0,3,4
75,839.21,0,0,3,4
76,839.21,0,0,3,4
77,846.16,0,0,3,4
78,846.16,0,0,3,4
79,1605.48,0,60,2,3
80,1605.48,0,60,2,3
81,1605.48,0,60,2,3
82,1867.78,200,200,1,1
83,1793.55,0,60,2,3
84,1867.78,0,60,2,3
85,1786.46,0,200,2,3
86,1786.46,0,181.53,2,3
87,1793.55,0,200,2,3
88,1724.98,0,60,2,3
89,1724.98,0,60,2,3
90,1728.8,0,60,2,3
91,1551.1,0,60,2,3
92,1953.89,200,200,1,1
93,2139.58,0,200,2,3
94,3697.5,200,200,1,1
95,3697.5,200,200,1,1
96,3697.5,200,200,1,1
97,3697.5,200,200,1,1
98,3697.5,200,200,1,1
99,3697.5,200,200,1,1
100,3697.5,200,200,1,1
101,3697.5,200,200,1,1
102,3697.5,200,200,1,1
103,3697.5,200,200,1,1
104,3697.5,200,200,1,1
105,3697.5,200,200,1,1
