No,X,Y,,Reverese,,error average
1,0.2707,140,,140.440216935058,,0.440216935058004
2,0.2799,140,,139.611545229442,,-0.388454770558013
3,0.2703,140,,140.475648882178,,0.475648882177978
4,0.2716,140,,140.360313077152,,0.360313077152
5,0.29167,140,,138.512997020327,,-1.48700297967264
6,0.634,90,,87.7078619752,,-2.29213802480001
7,0.634,90,,87.7078619752,,-2.29213802480001
8,0.6299,90,,88.532030435442,,-1.467969564558
9,0.6025,90,,93.90564500125,,3.90564500124998
10,0.6072,90,,93.000487712128,,3.00048771212798
11,0.1201,150,,150.262106565442,,0.262106565441996
12,0.1188,150,,150.316176818848,,0.316176818847993
13,0.099,150,,151.0747286242,,1.07472862419999
14,0.1237,150,,150.109629904498,,0.109629904497979
15,0.1666,150,,147.982345770952,,-2.01765422904802
,,,,,,-0.000404072682798
,,,,,,
,,,,,,
,,,,,,
coefisien,,,,,,
A,-155.535867686986,-4.43508953461941,153.038268316894,,,
B,,,,,,
coefisien,,,,,,
