No,Eye,Human_center_point,Real,,,
1,1043.556,877.114183301384,1000,,,
2,1018.12,920.828318891488,1000,,,
3,993.486,933.424381714088,1000,,,
4,974.193,976.243540433442,1000,,,
5,974.193,995.148319795201,1000,,,
6,997.386,1052.6728599544,1000,,,
7,997.386,1077.45787011913,1000,,,
8,997.386,1056.62384242566,1000,,,
9,997.386,1075.84260004462,1000,,,
10,1018.12,1054.28905787486,1000,,,
11,1018.12,980.303577680607,1000,,,
12,995.674,1131.8375471633,1000,,,
13,995.674,1076.08477782433,1000,,,
14,995.674,834.268112456924,1000,,,
15,974.193,1129.49484325264,1000,,,
16,976.947,1067.17744602806,1000,,,
17,975.797,1131.53056728967,1000,,,
18,955.12,1094.96095791356,1000,,,
19,956.198,1091.53095109248,1000,,,
20,956.198,1155.7101360364,1000,,,
21,975.797,1030.94181981293,1000,,,
22,975.797,1049.71017338288,1000,,,
23,972.144,1129.1883172521,1000,,,
24,953.616,989.675414584555,1000,,,
25,972.144,1122.59851076269,1000,,,
26,974.193,1091.6125272943,1000,,,
27,974.193,1143.65928933659,1000,,,
28,974.193,1125.4590452987,1000,,,
29,976.947,1024.4387099855,1000,,,
30,975.797,1039.44175952288,1000,,,
31,975.797,1060.05329946984,1000,,,
32,975.797,1017.91464495584,1000,,,
33,976.947,1204.40085587228,1000,,,
34,975.797,1083.96368782327,1000,,,
35,975.797,1077.1077448733,1000,,,
36,975.797,1031.35906412537,1000,,,
37,975.797,1058.98902759249,1000,,,
38,975.797,1069.96187082025,1000,,,
39,955.12,1150.73219258643,1000,,,
40,956.198,1104.96853716219,1000,,,
41,976.947,1120.71285838916,1000,,,
42,956.847,1157.52406974263,1000,,,
43,956.198,1028.41496821579,1000,,,
44,976.947,1108.81397140898,1000,,,
45,976.947,1180.97188903246,1000,,,
46,976.947,1037.13511510396,1000,,,
47,955.12,1099.57376712188,1000,,,
48,956.198,1134.68691862211,1000,,,
49,936.313,1070.81968577146,1000,,,
50,936.313,1145.43165095947,1000,,,
51,955.12,1108.40150009247,1000,,,
52,976.947,1172.68026729575,1000,,,
53,976.947,1149.12327956358,1000,,,
54,998.614,1044.25071159555,1000,,,
55,975.797,1101.13273052649,1000,,,
56,974.193,1184.31155241739,1000,,,
57,975.797,1048.67996994667,1000,,,
58,975.797,1056.11941923118,1000,,,
59,976.947,1115.59427014263,1000,,,
60,976.947,1142.90030259757,1000,,,
61,975.797,1087.32219546625,1000,,,
62,975.797,1094.22529995689,1000,,,
63,955.12,1181.31706493989,1000,,,
64,975.797,1134.96654383973,1000,,,
65,975.797,1056.59728941563,1000,,,
66,974.193,1119.05093369718,1000,,,
67,975.797,1192.95029825842,1000,,,
68,975.797,1061.94431764405,1000,,,
69,955.12,1124.59755953551,1000,,,
70,997.386,1054.55418273128,1000,,,
71,975.797,1161.58434794188,1000,,,
72,975.797,1122.84825260278,1000,,,
73,976.947,1131.39105063166,1000,,,
74,975.797,1148.98222297899,1000,,,
75,974.193,1016.9593727446,1000,,,
76,974.193,991.826369353163,1000,,,
77,976.947,1079.77617434204,1000,,,
78,955.12,897.492234567826,1000,,,
79,955.12,993.777944963409,1000,,,
80,975.797,1105.59962615831,1000,,,
81,975.797,1144.22173260204,1000,,,
82,998.614,1171.27848906145,1000,,,
83,997.386,1138.63417071112,1000,,,
84,953.616,1181.69108532703,1000,,,
85,995.674,1138.9144885273,1000,,,
86,953.616,780.633006755596,1000,,,
87,975.797,1125.62583900239,1000,,,
88,972.144,1115.17998628096,1000,,,
89,933.888,1122.73725131736,1000,,,975.35256043956
90,951.694,1094.27978085875,1000,,,
91,974.193,1032.97707356894,1000,,,
,,,,,,
,,,,,24.6474395604396,
