No,Position_X(mm),Position_Y(mm),Position_Z(mm),R_X(deg),R_Y(deg),R_Z(deg)
0,489.918,58.66,-232.798,179.9994,0.0013,180
1,503.826,49.941,-232.801,179.9994,0.0008,179.9983
2,517.714,34.156,-232.792,179.9993,0.0025,179.9994
3,524.313,19.02,-232.794,179.9994,0.0018,179.9998
4,527.394,1.638,-232.795,179.9995,0.0018,179.9996
5,524.974,-16.781,-232.8,179.9995,0.0019,179.9984
6,519.415,-31.248,-232.798,179.9996,0.0021,179.9978
7,506.061,-48.025,-232.799,179.9996,0.0013,179.9974
8,493.358,-56.936,-232.796,179.9997,0.002,179.9982
9,474.845,-63.793,-232.795,179.9998,0.0021,179.9975
10,456.362,-64.478,-232.797,179.9998,0.0014,179.9998
11,440.952,-61.331,-232.798,179.9998,0.0012,179.9982
12,421.762,-50.653,-232.796,179.9998,0.0016,179.9989
13,410.766,-39.078,-232.798,179.9998,0.0015,179.998
14,401.572,-22.85,-232.797,179.9998,0.0017,179.9982
15,397.933,-5.843,-232.798,179.9997,0.0023,179.9979
16,398.326,10.806,-232.798,179.9996,0.0023,-179.9997
17,404.386,28.79,-232.801,179.9996,0.0012,-179.9995
18,412.581,41.702,-232.799,179.9995,0.002,179.9985
19,428.429,55.264,-232.8,179.9995,0.0009,180
20,443.412,61.939,-232.799,179.9994,0.0016,179.999
21,462.422,65.001,-232.794,179.9993,0.0021,179.9986
22,462.416,109.998,-132.797,179.9991,0.0013,179.999
23,470.503,109.681,-232.794,179.9993,0.0011,179.9989
24,485.965,107.438,-232.797,179.9992,0.0017,-179.999
25,506.907,100.326,-232.797,179.9994,0.0007,-179.9995
26,525.95,89.765,-232.801,179.9993,0.0008,179.9998
27,538.583,79.249,-232.795,179.9992,0.0015,-179.9995
28,552.121,63.228,-232.799,179.9993,0.0011,-179.9995
29,563.13,44.215,-232.797,179.9993,0.0019,-179.9995
30,568.362,29.424,-232.8,179.9993,0.0022,179.9996
31,571.894,7.664,-232.801,179.9994,0.0007,179.9997
32,571.534,-13.912,-232.794,179.9994,0.0019,179.9996
33,568.081,-30.176,-232.799,179.9995,0.0014,-179.9993
34,560.067,-50.098,-232.795,179.9995,0.0016,179.9988
35,548.88,-67.991,-232.795,179.9996,0.0015,179.9975
36,537.262,-80.423,-232.797,179.9995,0.0006,179.9968
37,520.125,-93.362,-232.799,179.9998,0.0019,179.9984
38,501.68,-102.75,-232.793,180,0.0029,179.9975
39,484.636,-107.57,-232.795,-179.9999,0.003,179.9988
40,461.272,-109.815,-232.797,180,0.0019,179.9982
41,443.311,-108.321,-232.8,179.9999,0.0015,179.9982
42,424.35,-102.966,-232.802,179.9998,0.0009,179.9991
43,403.698,-92.896,-232.799,179.9999,0.0011,179.9988
44,389.853,-82.602,-232.801,179.9999,0.0009,179.9989
45,375.287,-66.728,-232.797,180,0.0016,179.9989
46,363.663,-48.383,-232.797,180,0.0017,179.9984
47,357.454,-32.567,-232.801,179.9998,0.0003,179.9971
48,353.139,-10.412,-232.797,179.9998,0.0016,179.998
49,352.833,9.588,-232.799,179.9997,0.0013,179.9998
50,356.379,28.46,-232.8,179.9997,0.0015,179.9997
51,364.089,48.928,-232.8,179.9997,0.0007,179.9995
52,373.321,64.516,-232.8,179.9995,0.0015,179.9992
53,385.686,78.546,-232.798,179.9995,0.0011,-179.9996
54,402.779,92.206,-232.797,179.9995,0.001,-179.9998
55,419.114,101.117,-232.797,179.9994,0.001,179.9988
56,437.329,106.886,-232.798,179.9993,0.0015,-179.9998
57,460.201,109.847,-232.795,179.9992,0.0017,179.9991
58,462.414,116.575,-132.798,179.999,0.0013,179.9992
59,465.434,139.253,-232.798,179.9991,0.0015,179.9999
60,486.266,137.277,-232.797,179.999,0.0021,179.9985
61,503.132,133.213,-232.798,179.999,0.002,179.9993
62,522.537,125.46,-232.794,179.9992,0.0013,179.9989
63,540.846,114.863,-232.797,179.999,0.0023,179.9998
64,558.328,100.947,-232.796,179.9991,0.0019,179.9994
65,570.774,87.593,-232.793,179.9991,0.002,-179.9996
66,581.04,72.955,-232.792,179.9993,0.0006,179.9998
67,590.436,54.436,-232.797,179.9992,0.0024,179.9993
68,597.489,33.239,-232.799,179.9993,0.0008,-179.9991
69,601.204,11.871,-232.794,179.9993,0.0022,179.9996
70,601.639,-5.443,-232.796,179.9994,0.0008,179.9988
71,599.731,-23.222,-232.796,179.9994,0.0022,-179.9997
72,594.439,-43.808,-232.801,179.9995,0.0017,179.9997
73,585.556,-64.752,-232.796,179.9996,0.0021,179.9989
74,574.326,-82.997,-232.795,179.9997,0.0023,179.9992
75,563.044,-96.296,-232.799,179.9996,0.0015,179.999
76,546.735,-110.631,-232.798,179.9997,0.0016,179.9975
77,529.328,-121.932,-232.798,179.9998,0.0017,179.9979
78,509.288,-131.122,-232.797,179.9998,0.0014,179.9993
79,491.946,-136.16,-232.799,179.9998,0.0013,179.9994
