no,real nose,x,y
1,114,347,229
2,114,347,227
3,114,346,223
4,114,355,219
5,114,351,216
6,114,343,219
7,114,362,213
8,114,359,222
9,114,357,224
10,114,352,218
11,114,368,219
12,114,355,226
13,114,331,229
14,114,336,222
15,114,344,222
16,114,342,224
17,114,352,225
18,114,349,223
19,114,347,221
20,114,346,220
21,114,347,223
22,114,346,219
23,114,347,225
24,114,347,221
25,114,347,217
26,114,331,215
27,114,337,224
28,114,335,221
29,126,147,252
30,126,148,256
31,126,145,252
32,126,149,253
33,126,151,254
34,126,151,255
35,126,155,258
36,126,158,260
37,126,159,263
38,126,157,260
39,126,155,264
40,126,159,260
41,126,165,254
42,126,168,251
43,126,165,257
44,126,166,262
45,126,159,258
46,126,158,259
47,126,161,265
48,126,150,271
49,160,382,80
50,160,384,78
51,160,385,80
52,160,382,85
53,160,380,82
54,160,380,85
55,160,382,82
56,160,379,88
57,160,381,85
58,160,380,81
59,160,375,87
60,160,381,86
61,160,376,79
62,160,376,85
63,160,384,90
64,160,375,87
65,160,379,89
66,160,384,90
67,160,380,92
68,160,378,89
69,160,384,88
70,160,385,85
71,160,378,85
72,160,383,84
73,160,386,88
74,160,386,93
75,160,393,85
76,160,388,78
77,160,387,82
78,160,387,84
79,160,388,83
80,160,386,88
81,160,392,81
82,160,389,84
83,160,393,82
84,160,386,84
